"t","u","f"
0.,0.,0.
0.01,2.0883551225863597e-6,0.1246523034434331
0.02,0.00001657614773808049,0.24327135957844556
0.03,0.00005523677592427035,0.34999878740063506
0.04,0.0001286302975014826,0.4393213992155904
0.05,0.0002455542265786203,0.5062325628940015
0.06,0.00041254464394911814,0.5463803987919016
0.07,0.0006334490859773486,0.5561989410707827
0.08,0.0009090741359681303,0.5330188207329297
0.09,0.0012369238653522744,0.4751545419293564
0.1,0.0016110429922427192,0.38196601125010515
0.11,0.0020219579255262464,0.2538926271823883
0.12,0.0024567307084862205,0.0924589276582683
0.13,0.0028991208624538534,-0.09974848953171526
0.14,0.003329852621339804,-0.31913233350736775
0.15,0.0037269847164393766,-0.5611631188171802
0.16,0.004066371762740581,-0.8204829522715971
0.17,0.004322204758630871,-1.0910321212523701
0.18,0.004467627700584551,-1.366195413879061
0.19,0.004475402104584218,-1.6389645937970325
0.2,0.004318612284745915,-1.902113032590307
0.21,0.003971391334828388,-2.1483781814484235
0.22,0.003409647056109954,-2.3706473488376214
0.23,0.002611773004302636,-2.562142148028217
0.24,0.0015593231346955575,-2.7165969901365243
0.25,0.00023763382435851646,-2.8284271247461903
0.26,-0.0013636242299460916,-2.8928819682472744
0.27,-0.0032499792233034665,-2.906179804080997
0.28,-0.005421789564755626,-2.8656203807937373
0.29,-0.00787398551165544,-2.769672462459837
0.3,-0.010595928406337368,-2.618033988749895
0.31,-0.013571394084493293,-2.4116631639833606
0.32,-0.016778683016620877,-2.152779499718915
0.33,-0.020190857045885607,-1.8448345665329913
0.34,-0.02377609960769018,-1.4924529496912666
0.35000000000000003,-0.027498193135869882,-1.1013446322926337
0.36,-0.03131710470869341,-0.6781907302552367
0.37,-0.035189667343606075,-0.2305051589885102
0.38,-0.039070345359310636,0.23352459438024842
0.39,-0.04291206299625727,0.7052139014202795
0.4,-0.04666708466832862,1.1755705045849454
0.41000000000000003,-0.05028792124242622,1.6354926607277653
0.42,-0.05372824752094497,2.0759712435927153
0.43,-0.05694380630976491,2.4882910242304725
0.44,-0.0598932835543576,2.864226355588975
0.45,-0.06253912966177544,3.1962266107498305
0.46,-0.0648483133104999,3.4775869605263976
0.47000000000000003,-0.06679298641258882,3.702600419730622
0.48,-0.06835104979855713,3.866687534047684
0.49,-0.06950660110655156,3.9665006103964355
0.5,-0.07025026108876778,4.
0.51,-0.07057936383547422,3.966500610396436
0.52,-0.07049801444005731,3.8666875340476845
0.53,-0.07001700388877814,3.7026004197306217
0.54,-0.06915359261616577,3.4775869605263967
0.55,-0.0679311578597119,3.196226610749829
0.56,-0.06637872254907064,2.864226355588974
0.5700000000000001,-0.06453036688520336,2.4882910242304743
0.58,-0.06242454496373697,2.07597124359272
0.59,-0.06010331361087677,1.6354926607277671
0.6,-0.0576114981085296,1.1755705045849476
0.61,-0.054995807086116524,0.7052139014202813
0.62,-0.0523039241844761,0.23352459438025025
0.63,-0.049583584561279065,-0.2305051589885084
0.64,-0.04688167221715878,-0.678190730255238
0.65,-0.04424334432529974,-1.1013446322926324
0.66,-0.04171121049561161,-1.4924529496912702
0.67,-0.039324579774138994,-1.8448345665329924
0.68,-0.03711879142074242,-2.152779499718918
0.6900000000000001,-0.0351246496540597,-2.411663163983361
0.7000000000000001,-0.03336796146188324,-2.6180339887498945
0.71,-0.03186920128998359,-2.7696724624598357
0.72,-0.030643291721756442,-2.865620380793738
0.73,-0.029699519868134495,-2.9061798040809967
0.74,-0.0290415738444165,-2.892881968247274
0.75,-0.028667707303038144,-2.8284271247461903
0.76,-0.028571019421842862,-2.7165969901365257
0.77,-0.02873984216550308,-2.562142148028217
0.78,-0.02915822838839182,-2.370647348837623
0.79,-0.02980651632613444,-2.1483781814484235
0.8,-0.03066197003099635,-1.9021130325903082
0.81,-0.03169946092745293,-1.6389645937970314
0.8200000000000001,-0.032892191176373306,-1.366195413879061
0.8300000000000001,-0.03421242254492193,-1.0910321212523673
0.84,-0.03563220688670688,-0.8204829522716001
0.85,-0.037124089487458316,-0.5611631188171813
0.86,-0.038661772954845464,-0.31913233350736947
0.87,-0.04022072568937441,-0.09974848953171533
0.88,-0.04177871499125428,0.09245892765826699
0.89,-0.04331626161549195,0.2538926271823885
0.9,-0.0448169935436711,0.38196601125010476
0.91,-0.046267904060500666,0.47515454192935674
0.92,-0.04765949735377508,0.5330188207329298
0.93,-0.04898582860798109,0.5561989410707827
0.9400000000000001,-0.05024443446614523,0.5463803987919016
0.9500000000000001,-0.05143615719410564,0.5062325628940016
0.96,-0.05256487482506964,0.4393213992155911
0.97,-0.05363713496230686,0.34999878740063517
0.98,-0.05466171929815611,0.24327135957844634
0.99,-0.05564913330359115,0.12465230344343288
1.,-0.056611056264484594,4.898587196589413e-16
1.01,-0.05755974841353894,-0.12465230344343192
1.02,-0.058507449387588076,-0.24327135957844548
1.03,-0.059465772553273566,-0.3499987874006344
1.04,-0.06044512071738608,-0.43932139921559044
1.05,-0.061454137823617194,-0.5062325628940012
1.06,-0.062499209916210004,-0.5463803987919017
1.07,-0.06358403746606009,-0.5561989410707827
1.08,-0.06470928157546489,-0.5330188207329295
1.09,-0.06587230703812909,-0.47515454192935624
1.1,-0.06706701911556455,-0.38196601125010404
1.11,-0.06828380954125102,-0.2538926271823876
1.12,-0.0695096091845137,-0.09245892765826584
1.1300000000000001,-0.07072804849710969,0.09974848953171665
1.1400000000000001,-0.07191972799954152,0.31913233350736764
1.1500000000000001,-0.07306258305360401,0.5611631188171828
1.16,-0.0741323500315312,0.8204829522715942
1.17,-0.07510310449668722,1.091032121252365
1.18,-0.07594787907360959,1.3661954138790589
1.19,-0.07663932573998652,1.6389645937970296
1.2,-0.07715042441646709,1.9021130325903062
1.21,-0.07745520571869526,2.1483781814484217
1.22,-0.07752947894589148,2.3706473488376214
1.23,-0.07735154290674277,2.562142148028216
1.24,-0.07690285908142563,2.7165969901365252
1.25,-0.07616867638343441,2.82842712474619
1.26,-0.0751385797016711,2.892881968247274
1.27,-0.07380696030836771,2.9061798040809967
1.28,-0.07217338107403716,2.8656203807937373
1.29,-0.07024283746455959,2.769672462459837
1.3,-0.06802589716903647,2.618033988749896
1.31,-0.06553871620577975,2.411663163983363
1.32,-0.06280293089302168,2.1527794997189122
1.33,-0.059845417505408935,1.8448345665329904
1.34,-0.056697936824977604,1.492452949691268
1.35,-0.053396651306639696,1.1013446322926355
1.36,-0.04998154523723362,0.6781907302552291
1.37,-0.046495737481096706,0.2305051589885055
1.3800000000000001,-0.042984721796193455,-0.23352459438025325
1.3900000000000001,-0.03949553325664228,-0.705213901420281
1.4000000000000001,-0.036075871577321734,-1.1755705045849438
1.41,-0.032773193345117795,-1.6354926607277605
1.42,-0.029633794224248212,-2.075971243592711
1.43,-0.02670190617792372,-2.4882910242304654
1.44,-0.024018820431378762,-2.864226355588977
1.45,-0.021622068615627175,-3.1962266107498287
1.46,-0.019544666392341207,-3.477586960526395
1.47,-0.017814450202773738,-3.7026004197306186
1.48,-0.016453511328697643,-3.8666875340476854
1.49,-0.01547774658268444,-3.966500610396436
1.5,-0.014896534921766307,-4.
1.51,-0.014712543392672419,-3.9665006103964364
1.52,-0.014921673648583936,-3.8666875340476867
1.53,-0.015513142543880348,-3.702600419730621
1.54,-0.01646970291281636,-3.4775869605263976
1.55,-0.01776799328616232,-3.1962266107498327
1.56,-0.019379010657683736,-2.8642263555889804
1.57,-0.02126869698746017,-2.48829102423047
1.58,-0.023398624552754006,-2.075971243592716
1.59,-0.025726766299844286,-1.6354926607277658
1.6,-0.02820833007904507,-1.1755705045849492
1.61,-0.030796642446477673,-0.7052139014202732
1.62,-0.03344406120075322,-0.23352459438024545
1.6300000000000001,-0.03610289336005123,0.23050515898851306
1.6400000000000001,-0.038726301414810566,0.6781907302552365
1.6500000000000001,-0.04126917753023526,1.1013446322926308
1.6600000000000001,-0.04368896539196532,1.4924529496912742
1.67,-0.04594641345111236,1.8448345665329864
1.68,-0.04800624049689953,2.152779499718909
1.69,-0.04983770462722815,2.41166316398336
1.7,-0.05141506537182545,2.6180339887498936
1.71,-0.05271791486585017,2.7696724624598352
1.72,-0.05373140496693882,2.8656203807937364
1.73,-0.054446326833838876,2.906179804080997
1.74,-0.054859065607495996,2.8928819682472744
1.75,-0.054971451128035004,2.8284271247461907
1.76,-0.05479047294724392,2.716596990136526
1.77,-0.0543278802490939,2.5621421480282205
1.78,-0.0535997158101491,2.3706473488376214
1.79,-0.052625733793763986,2.1483781814484244
1.8,-0.0514287666938626,1.902113032590309
1.81,-0.05003404313252491,1.6389645937970365
1.82,-0.04846846412967175,1.366195413879058
1.83,-0.04675987284810807,1.0910321212523686
1.84,-0.044936326570966724,0.8204829522715973
1.85,-0.043025391364758345,0.5611631188171822
1.86,-0.04105347846201136,0.31913233350736386
1.87,-0.0390452355586947,0.09974848953171322
1.8800000000000001,-0.03702301706180513,-0.0924589276582688
1.8900000000000001,-0.03500642351644593,-0.2538926271823879
1.9000000000000001,-0.03301195306280996,-0.3819660112501044
1.9100000000000001,-0.031052745014986217,-0.47515454192935747
1.92,-0.029138419554037683,-0.533018820732929
1.93,-0.027275052609682063,-0.5561989410707826
1.94,-0.025465252217720204,-0.5463803987919016
1.95,-0.0237083091301389,-0.5062325628940019
1.96,-0.022000482889806935,-0.4393213992155914
1.97,-0.020335377515910927,-0.34999878740063695
1.98,-0.018704351632807995,-0.24327135957844517
1.99,-0.017097048287170666,-0.12465230344343337
2.,-0.015501941923823138,-9.797174393178826e-16
2.0100000000000002,-0.013906922499631678,0.1246523034434349
2.02,-0.012299907238471268,0.24327135957844342
2.0300000000000002,-0.010669440289975516,0.3499987874006354
2.04,-0.009005278309895783,0.43932139921559016
2.05,-0.007298940174814156,0.5062325628939994
2.06,-0.005544203534988642,0.5463803987919013
2.07,-0.0037375373019775627,0.5561989410707829
2.08,-0.0018784445656718969,0.5330188207329297
2.09,0.000030269306195964936,0.47515454192935874
2.1,0.0019823340172060795,0.38196601125010604
2.11,0.003967965067653363,0.2538926271823902
2.12,0.005973921224350399,0.09245892765826655
2.13,0.007983655154084949,-0.09974848953171
2.14,0.009977579819490377,-0.31913233350736675
2.15,0.011933454715337565,-0.5611631188171782
2.16,0.013826831890558373,-0.8204829522716006
2.17,0.015631598521664538,-1.0910321212523642
2.18,0.017320600803068624,-1.3661954138790615
2.19,0.018866303173606366,-1.6389645937970323
2.2,0.02024149296172505,-1.9021130325903122
2.21,0.021420009267678092,-2.148378181448421
2.22,0.02237746796575644,-2.370647348837624
2.23,0.023091971597729945,-2.562142148028218
2.24,0.023544785835882508,-2.7165969901365283
2.25,0.023720960536654297,-2.8284271247461894
2.2600000000000002,0.023609881963081288,-2.8928819682472753
2.27,0.023205740515977628,-2.906179804080997
2.2800000000000002,0.022507895407626228,-2.8656203807937377
2.29,0.021521140082087168,-2.769672462459837
2.3000000000000003,0.02025583604107329,-2.6180339887498913
