"t","u","f"
0.,0.,0.
0.01,8.354793622991976e-6,0.2511620781172535
0.02,0.00006662365090885624,0.501332934257217
0.03,0.00022402673982615482,0.7495252583428984
0.04,0.0005288289291196656,0.9947595486594192
0.05,0.001028098660098183,1.2360679774997896
0.06,0.001767505873177166,1.4724982107387117
0.07,0.0027911038548630936,1.7031171662602909
0.08,0.004141124895078794,1.9270146964068613
0.09,0.005857784595715759,2.1433071799159866
0.1,0.007979092949137435,2.3511410091698925
0.11,0.010540674657504783,2.5496959589947585
0.12,0.013575607797376465,2.7381884237147545
0.13,0.017114260416996235,2.915874509685646
0.14,0.0211841486812824,3.082052971103157
0.15,0.025809801883155487,3.23606797749979
0.16,0.03101264355614831,3.3773117020080603
0.17,0.03681088382170972,3.505226720175455
0.18,0.043219426600499766,3.6193082098640783
0.19,0.05024978944277476,3.7191059435530054
0.2,0.05791003915843797,3.804226065180614
0.21,0.06620474126085495,3.8743326445145243
0.22,0.07513492362957247,3.9291490029147544
0.23,0.08469805641881337,3.9684588052579115
0.24,0.09488804719670346,3.9921069137130862
0.25,0.10569525011708483,4.
0.26,0.11710648841329405,3.9921069137130862
0.27,0.12910509698497524,3.968458805257911
0.28,0.14167097345812854,3.9291490029147544
0.29,0.1547806497911605,3.8743326445145247
0.3,0.16840737300493216,3.8042260651806146
0.31,0.18252120386816906,3.719105943553006
0.32,0.19708912639439413,3.619308209864078
0.33,0.2120751722874563,3.505226720175454
0.34,0.2274405569062315,3.37731170200806
0.35000000000000003,0.24314382774507154,3.23606797749979
0.36,0.2591410247562053,3.082052971103157
0.37,0.2753858505148111,2.9158745096856458
0.38,0.2918298520856689,2.7381884237147553
0.39,0.30842261003021365,2.5496959589947594
0.4,0.325111940620485,2.351141009169893
0.41000000000000003,0.34184410030816015,2.1433071799159866
0.42,0.35856399963166635,1.9270146964068624
0.43,0.37521542426257254,1.7031171662602915
0.44,0.3917412622146287,1.4724982107387126
0.45,0.4080837327427367,1.23606797749979
0.46,0.42418461868836166,0.9947595486594193
0.47000000000000003,0.4399855059581156,0.7495252583428983
0.48,0.4554280193133789,0.5013329342572181
0.49,0.4704540600177737,0.25116207811725433
0.5,0.4850060470751363,4.898587196589413e-16
0.51,0.4990271524188728,-0.2511620781172534
0.52,0.5124615355334687,-0.5013329342572171
0.53,0.5252545766236388,-0.7495252583428991
0.54,0.5373531033195827,-0.9947595486594201
0.55,0.5487056131472589,-1.236067977499791
0.56,0.559262491894429,-1.4724982107387132
0.5700000000000001,0.5689762225569145,-1.7031171662602906
0.58,0.5778015876553607,-1.92701469640686
0.59,0.5856958648361142,-2.1433071799159857
0.6,0.5926190104728658,-2.351141009169892
0.61,0.5985338346629686,-2.5496959589947585
0.62,0.6034061670510534,-2.738188423714755
0.63,0.6072050083115805,-2.9158745096856453
0.64,0.6099026713976888,-3.0820529711031575
0.65,0.6114749113387454,-3.2360679774997894
0.66,0.6119010395606327,-3.377311702008061
0.67,0.6111640261380784,-3.5052267201754543
0.68,0.6092505881362771,-3.619308209864079
0.6900000000000001,0.6061512624886476,-3.719105943553006
0.7000000000000001,0.6018604663541516,-3.804226065180614
0.71,0.5963765404226,-3.874332644514524
0.72,0.58970177791838,-3.929149002914755
0.73,0.5818424392260774,-3.968458805257911
0.74,0.5728087493587524,-3.9921069137130862
