"time","space","u","f"
0.,0.,0.,0.
0.,0.01,0.,0.012851943465806401
0.,0.02,0.,0.02969656793113687
0.,0.03,0.,0.05127197236467956
0.,0.04,0.,0.07839269516552905
0.,0.05,0.,0.11194785191389792
0.,0.06,-2.117582368135751e-22,0.1528970770962335
0.,0.07,0.,0.20226398369553963
0.,0.08,0.,0.2611268833458924
0.,0.09,0.,0.3306065527040672
0.,0.1,0.,0.4118508894920923
0.,0.11,0.,0.506016374494549
0.,0.12,8.470329472543003e-22,0.6142463432242977
0.,0.13,0.,0.7376461718826213
0.,0.14,0.,0.8772555947748565
0.,0.15,0.,1.0340184918725968
0.,0.16,1.6940658945086007e-21,1.2087506123510041
0.,0.17,0.,1.402105828574559
0.,0.18,0.,1.6145416404326411
0.,0.19,0.,1.8462847669207887
0.,0.2,0.,2.097297764887172
0.,0.21,0.,2.3672476982694426
0.,0.22,0.,2.65547793941848
0.,0.23,0.,2.9609842121214727
0.,0.24,0.,3.2823959792467434
0.,0.25,-6.776263578034403e-21,3.6179642330295056
0.,0.26,0.,3.9655566605966723
0.,0.27,0.,4.3226610305128705
0.,0.28,6.776263578034403e-21,4.6863974786518146
0.,0.29,-6.776263578034403e-21,5.053540166020321
0.,0.3,0.,5.420548541530115
0.,0.31,0.,5.783608175118495
0.,0.32,0.,6.138680838688696
0.,0.33,0.,6.481563213129075
0.,0.34,0.,6.80795329937231
0.,0.35000000000000003,0.,7.113523321044148
0.,0.36,0.,7.393997637049601
0.,0.37,0.,7.645233945655703
0.,0.38,0.,7.863305867841054
0.,0.39,0.,8.044584856366269
0.,0.4,0.,8.185819296062668
0.,0.41000000000000003,0.,8.284208646115328
0.,0.42,0.,8.337470530145016
0.,0.43,0.,8.3438988055672
0.,0.44,0.,8.30241083815555
0.,0.45,0.,8.212582466304259
0.,0.46,0.,8.074669454826198
0.,0.47000000000000003,1.3552527156068805e-20,7.889614600450798
0.,0.48,0.,7.659040048605855
0.,0.49,0.,7.385224800052374
0.,0.5,0.,7.0710678118654755
0.,0.51,0.,6.720037515001588
0.,0.52,0.,6.336108965291292
0.,0.53,0.,5.923690201959183
0.,0.54,0.,5.487539694894903
0.,0.55,0.,5.032677008015435
0.,0.56,0.,4.564288982691688
0.,0.5700000000000001,0.,4.087633846626453
0.,0.58,0.,3.6079456769928853
0.,0.59,0.,3.13034159234799
0.,0.6,0.,2.65973391909415
0.,0.61,0.,2.200749381149976
0.,0.62,0.,1.7576571045830272
0.,0.63,0.,1.3343069229005244
0.,0.64,0.,0.9340791257204709
0.,0.65,0.,0.5598464269029004
0.,0.66,0.,0.21394855159678397
0.,0.67,0.,-0.1018205314115201
0.,0.68,0.,-0.38621306234245456
0.,0.6900000000000001,0.,-0.6385162870170553
0.,0.7000000000000001,0.,-0.8585305470022276
0.,0.71,0.,-1.0465378574995194
0.,0.72,0.,-1.2032623598551326
0.,0.73,0.,-1.32982417280921
0.,0.74,0.,-1.4276882471712313
0.,0.75,0.,-1.4986098535015937
0.,0.76,0.,-1.5445783046282282
0.,0.77,0.,-1.5677604392325601
0.,0.78,0.,-1.5704452755497524
0.,0.79,0.,-1.5549910927750537
0.,0.8,0.,-1.5237760200811186
0.,0.81,0.,-1.479153017574904
0.,0.8200000000000001,0.,-1.423409928349978
0.,0.8300000000000001,0.,-1.35873507392911
0.,0.84,1.6940658945086007e-21,-1.2871886640801795
0.,0.85,-1.6940658945086007e-21,-1.2106801025613718
0.,0.86,0.,-1.1309510980737334
0.,0.87,0.,-1.0495643386575417
0.,0.88,0.,-0.9678973608292568
0.,0.89,0.,-0.8871411435759086
0.,0.9,0.,-0.8083028824188211
0.,0.91,0.,-0.7322123496079027
0.,0.92,0.,-0.6595312216956627
0.,0.93,0.,-0.5907647531181035
0.,0.9400000000000001,0.,-0.5262751912719694
0.,0.9500000000000001,0.,-0.46629636183907464
0.,0.96,0.,-0.4109488994759471
0.,0.97,0.,-0.3602556551195274
0.,0.98,0.,-0.3141568738080342
0.,0.99,2.117582368135751e-22,-0.2725248030403997
0.,1.,0.,-0.23517745856009106
0.01,0.,-3.863611208492753e-25,0.
0.01,0.01,9.736440887452921e-7,0.012851943465806401
0.01,0.02,2.2144474475581136e-6,0.02969656793113687
0.01,0.03,3.7662015760072034e-6,0.05127197236467956
0.01,0.04,5.682041409214168e-6,0.07839269516552905
