"space","time","u","f"
0.,0.,0.,0.
0.,0.01,-1.8496268634182016e-20,0.
0.,0.02,-3.529783235861316e-20,0.
0.,0.03,-5.40564571486255e-20,0.
0.,0.04,-7.842390897955114e-20,0.
0.,0.05,-1.1205195382672215e-19,0.
0.,0.06,-3.2843503369784087e-20,0.
0.,0.07,-1.01621798996309e-20,0.
0.,0.08,6.771575580215294e-20,0.
0.,0.09,2.0046208912726082e-19,0.
0.,0.1,3.8774860546738646e-19,0.
0.,0.11,-8.712475185745911e-20,0.
0.,0.12,-2.51521026228829e-19,0.
0.,0.13,-5.038469641505116e-19,0.
0.,0.14,-8.547607066589083e-19,0.
0.,0.15,-1.3149203947904192e-18,0.
0.,0.16,-3.296971334967972e-20,0.
0.,0.17,-1.0421314788390899e-19,0.
0.,0.18,-2.0307216256628598e-19,0.
0.,0.19,-3.1888861636040972e-19,0.
0.,0.2,-4.410043682298785e-19,0.
0.,0.21,-1.2645440250480524e-19,0.
0.,0.22,-1.179056852151917e-19,0.
0.,0.23,-1.6986412276764872e-20,0.
0.,0.24,1.3367085216486849e-19,0.
0.,0.25,2.9143354396410347e-19,0.
0.,0.26,-1.0530752494424217e-19,0.
0.,0.27,-2.0179405660718917e-19,0.
0.,0.28,-2.782213020297743e-19,0.
0.,0.29,-3.233509682529307e-19,0.
0.,0.3,-3.2594476231759224e-19,0.
0.,0.31,-8.794297850652514e-20,0.
0.,0.32,-9.696357333680094e-20,0.
0.,0.33,-5.892036543659023e-20,0.
0.,0.34,-5.6719357516558e-21,0.
0.,0.35000000000000003,3.0923134772239404e-20,0.
0.,0.36,-1.7039578631831142e-20,0.
0.,0.37,-3.4079157263662284e-20,0.
0.,0.38,-5.111873589549343e-20,0.
0.,0.39,-6.815831452732457e-20,0.
0.,0.4,-8.519789315915571e-20,0.
0.,0.41000000000000003,2.2524747730501745e-19,0.
0.,0.42,3.930205240138187e-19,0.
0.,0.43,5.77564439453639e-19,0.
0.,0.44,8.531245229517117e-19,0.
0.,0.45,1.2939460738352705e-18,0.
0.,0.46,4.42761414690512e-20,0.
0.,0.47000000000000003,1.467362562976889e-19,0.
0.,0.48,2.536720613847558e-19,0.
0.,0.49,3.113752736290963e-19,0.
0.,0.5,2.6613760992955292e-19,0.
0.,0.51,7.372462652513923e-20,0.
0.,0.52,3.9613921056631395e-19,0.
0.,0.53,8.606623417595088e-19,0.
0.,0.54,1.3607126097407084e-18,0.
0.,0.55,1.7897086041458973e-18,0.
0.,0.56,-7.254952258623899e-20,0.
0.,0.5700000000000001,-2.434820738404373e-19,0.
0.,0.58,-5.449611007967999e-19,0.
0.,0.59,-1.0091500504895419e-18,0.
0.,0.6,-1.6682123699528695e-18,0.
0.,0.61,-1.6419624150064485e-19,0.
0.,0.62,-5.255680921747179e-19,0.
0.,0.63,-1.1480643982406282e-18,0.
0.,0.64,-2.095634005916785e-18,0.
0.,0.65,-3.432225761421598e-18,0.
0.,0.66,2.4927339271966174e-19,0.
0.,0.67,8.769107922315773e-19,0.
0.,0.68,1.861595916462944e-18,0.
0.,0.6900000000000001,3.1820124833409584e-18,0.
0.,0.7000000000000001,4.816844210792818e-18,0.
0.,0.71,1.515369838299345e-20,0.
0.,0.72,2.0971943754541251e-19,0.
0.,0.73,5.41064653341651e-19,0.
0.,0.74,9.665567816261028e-19,0.
0.,0.75,1.4435632582531618e-18,0.
0.,0.76,-9.137994466404728e-20,0.
0.,0.77,2.152114720293452e-20,0.
0.,0.78,2.3212186523693014e-19,0.
0.,0.79,4.338407990739241e-19,0.
0.,0.8,5.200965383499013e-19,0.
0.,0.81,-2.725167510933833e-20,0.
0.,0.8200000000000001,8.831977963643626e-20,0.
0.,0.8300000000000001,2.9686332926646194e-19,0.
0.,0.84,5.48527938809874e-19,0.
0.,0.85,7.934625732958166e-19,0.
0.,0.86,6.311960271361213e-20,0.
0.,0.87,1.8485898112743257e-19,0.
0.,0.88,2.906111479866506e-19,0.
0.,0.89,3.057691160364555e-19,0.
0.,0.9,1.5572589802203652e-19,0.
0.,0.91,6.658018828724305e-20,0.
0.,0.92,4.167799934537312e-20,0.
0.,0.93,-1.0757720607200638e-20,0.
0.,0.9400000000000001,-2.6778125352069083e-20,0.
0.,0.9500000000000001,5.756563132917709e-20,0.
0.,0.96,-3.33899574656016e-20,0.
0.,0.97,-4.368727601899992e-20,0.
0.,0.98,-5.2208237732998025e-20,0.
0.,0.99,-8.026912468039899e-20,0.
0.,1.,-1.4918621893400583e-19,0.
0.01,0.,-1.5702716904542058e-19,0.03139525976465669
0.01,0.01,-0.00005088505228942474,0.03139525976465669
0.01,0.02,-0.00009907724895895202,0.03139525976465669
0.01,0.03,-0.000144576590008582,0.03139525976465669
0.01,0.04,-0.0001873830754383147,0.03139525976465669
0.01,0.05,-0.00022749670524815013,0.03139525976465669
0.01,0.06,-0.0002651730584159097,0.03139525976465669
0.01,0.07,-0.0003008444044727518,0.03139525976465669
0.01,0.08,-0.0003345107434186768,0.03139525976465669
0.01,0.09,-0.00036617207525368436,0.03139525976465669
0.01,0.1,-0.0003958283999777748,0.03139525976465669
0.01,0.11,-0.0004236902444908212,0.03139525976465669
0.01,0.12,-0.00045005589835145734,0.03139525976465669
0.01,0.13,-0.00047492536155968325,0.03139525976465669
0.01,0.14,-0.0004982986341154989,0.03139525976465669
0.01,0.15,-0.0005201757160189044,0.03139525976465669
0.01,0.16,-0.000540706426699458,0.03139525976465669
0.01,0.17,-0.0005601160450621921,0.03139525976465669
0.01,0.18,-0.0005784045711071054,0.03139525976465669
0.01,0.19,-0.0005955720048341981,0.03139525976465669
0.01,0.2,-0.0006116183462434701,0.03139525976465669
0.01,0.21,-0.0006266538087820967,0.03139525976465669
0.01,0.22,-0.0006408431094897008,0.03139525976465669
0.01,0.23,-0.0006541862483662825,0.03139525976465669
0.01,0.24,-0.0006666832254118415,0.03139525976465669
0.01,0.25,-0.0006783340406263778,0.03139525976465669
0.01,0.26,-0.0006892174227764405,0.03139525976465669
0.01,0.27,-0.0006994539643019775,0.03139525976465669
0.01,0.28,-0.0007090436652029897,0.03139525976465669
0.01,0.29,-0.0007179865254794767,0.03139525976465669
0.01,0.3,-0.0007262825451314389,0.03139525976465669
0.01,0.31,-0.0007339863894504505,0.03139525976465669
0.01,0.32,-0.0007411849168986925,0.03139525976465669
0.01,0.33,-0.0007478781274761651,0.03139525976465669
0.01,0.34,-0.0007540660211828682,0.03139525976465669
0.01,0.35000000000000003,-0.0007597485980188021,0.03139525976465669
0.01,0.36,-0.000764961257855738,0.03139525976465669
0.01,0.37,-0.0007697649724501797,0.03139525976465669
0.01,0.38,-0.0007741597418021274,0.03139525976465669
0.01,0.39,-0.000778145565911581,0.03139525976465669
0.01,0.4,-0.0007817224447785402,0.03139525976465669
0.01,0.41000000000000003,-0.0007849096953373243,0.03139525976465669
0.01,0.42,-0.0007877478314263727,0.03139525976465669
0.01,0.43,-0.0007902368530456847,0.03139525976465669
0.01,0.44,-0.0007923767601952597,0.03139525976465669
0.01,0.45,-0.0007941675528750979,0.03139525976465669
0.01,0.46,-0.0007956141867819102,0.03139525976465669
0.01,0.47000000000000003,-0.0007967403422329283,0.03139525976465669
0.01,0.48,-0.0007975460192281545,0.03139525976465669
0.01,0.49,-0.0007980312177675889,0.03139525976465669
0.01,0.5,-0.0007981959378512316,0.03139525976465669
0.01,0.51,-0.0007980312177675888,0.03139525976465669
0.01,0.52,-0.0007975460192281541,0.03139525976465669
0.01,0.53,-0.0007967403422329273,0.03139525976465669
0.01,0.54,-0.0007956141867819088,0.03139525976465669
0.01,0.55,-0.0007941675528750983,0.03139525976465669
0.01,0.56,-0.0007923767601952607,0.03139525976465669
0.01,0.5700000000000001,-0.0007902368530456851,0.03139525976465669
0.01,0.58,-0.0007877478314263729,0.03139525976465669
0.01,0.59,-0.0007849096953373246,0.03139525976465669
0.01,0.6,-0.0007817224447785396,0.03139525976465669
0.01,0.61,-0.0007781455659115797,0.03139525976465669
0.01,0.62,-0.0007741597418021275,0.03139525976465669
0.01,0.63,-0.0007697649724501815,0.03139525976465669
0.01,0.64,-0.0007649612578557416,0.03139525976465669
0.01,0.65,-0.0007597485980188081,0.03139525976465669
0.01,0.66,-0.000754066021182871,0.03139525976465669
0.01,0.67,-0.0007478781274761667,0.03139525976465669
0.01,0.68,-0.0007411849168986929,0.03139525976465669
0.01,0.6900000000000001,-0.0007339863894504493,0.03139525976465669
0.01,0.7000000000000001,-0.0007262825451314357,0.03139525976465669
0.01,0.71,-0.0007179865254794785,0.03139525976465669
0.01,0.72,-0.0007090436652029915,0.03139525976465669
0.01,0.73,-0.0006994539643019796,0.03139525976465669
0.01,0.74,-0.0006892174227764428,0.03139525976465669
0.01,0.75,-0.0006783340406263811,0.03139525976465669
0.01,0.76,-0.0006666832254118457,0.03139525976465669
0.01,0.77,-0.0006541862483662858,0.03139525976465669
0.01,0.78,-0.0006408431094897033,0.03139525976465669
0.01,0.79,-0.0006266538087820986,0.03139525976465669
0.01,0.8,-0.000611618346243471,0.03139525976465669
0.01,0.81,-0.0005955720048342,0.03139525976465669
0.01,0.8200000000000001,-0.0005784045711071075,0.03139525976465669
0.01,0.8300000000000001,-0.0005601160450621941,0.03139525976465669
0.01,0.84,-0.0005407064266994602,0.03139525976465669
0.01,0.85,-0.0005201757160189054,0.03139525976465669
0.01,0.86,-0.0004982986341155011,0.03139525976465669
0.01,0.87,-0.00047492536155968536,0.03139525976465669
0.01,0.88,-0.00045005589835145923,0.03139525976465669
0.01,0.89,-0.0004236902444908229,0.03139525976465669
0.01,0.9,-0.0003958283999777764,0.03139525976465669
0.01,0.91,-0.0003661720752536853,0.03139525976465669
0.01,0.92,-0.0003345107434186773,0.03139525976465669
0.01,0.93,-0.0003008444044727522,0.03139525976465669
0.01,0.9400000000000001,-0.00026517305841591,0.03139525976465669
0.01,0.9500000000000001,-0.00022749670524815067,0.03139525976465669
0.01,0.96,-0.00018738307543831576,0.03139525976465669
0.01,0.97,-0.00014457659000858284,0.03139525976465669
0.01,0.98,-0.00009907724895895259,0.03139525976465669
0.01,0.99,-0.00005088505228942502,0.03139525976465669
0.01,1.,-2.270863082347079e-19,0.03139525976465669
0.02,0.,-3.34038352534094e-19,0.06266661678215212
0.02,0.01,-0.00010131316936227848,0.06266661678215212
0.02,0.02,-0.00019724062748476204,0.06266661678215212
0.02,0.03,-0.00028778237436745104,0.06266661678215212
0.02,0.04,-0.0003729384100103454,0.06266661678215212
0.02,0.05,-0.0004527087344134452,0.06266661678215212
0.02,0.06,-0.0005277382853792276,0.06266661678215212
0.02,0.07,-0.0005987578221231751,0.06266661678215212
0.02,0.08,-0.0006657673446452882,0.06266661678215212
0.02,0.09,-0.0007287668529455668,0.06266661678215212
0.02,0.1,-0.0007877563470240111,0.06266661678215212
0.02,0.11,-0.0008432379790794828,0.06266661678215212
0.02,0.12,-0.0008957272298301343,0.06266661678215212
0.02,0.13,-0.0009452240992759653,0.06266661678215212
0.02,0.14,-0.0009917285874169756,0.06266661678215212
0.02,0.15,-0.0010352406942531654,0.06266661678215212
0.02,0.16,-0.0010761248567283303,0.06266661678215212
0.02,0.17,-0.001114766834567855,0.06266661678215212
0.02,0.18,-0.0011511666277717384,0.06266661678215212
0.02,0.19,-0.0011853242363399799,0.06266661678215212
0.02,0.2,-0.0012172396602725805,0.06266661678215212
0.02,0.21,-0.001247181093131797,0.06266661678215212
0.02,0.22,-0.0012754302023289684,0.06266661678215212
0.02,0.23,-0.0013019869878640943,0.06266661678215212
0.02,0.24,-0.0013268514497371754,0.06266661678215212
0.02,0.25,-0.0013500235879482115,0.06266661678215212
0.02,0.26,-0.0013716973229992917,0.06266661678215212
0.02,0.27,-0.0013920773768013202,0.06266661678215212
0.02,0.28,-0.001411163749354299,0.06266661678215212
0.02,0.29,-0.0014289564406582283,0.06266661678215212
0.02,0.3,-0.0014454554507131075,0.06266661678215212
0.02,0.31,-0.0014607982007923074,0.06266661678215212
0.02,0.32,-0.0014751303171299682,0.06266661678215212
0.02,0.33,-0.0014884517997260898,0.06266661678215212
0.02,0.34,-0.001500762648580673,0.06266661678215212
0.02,0.35000000000000003,-0.0015120628636937172,0.06266661678215212
0.02,0.36,-0.0015224455463560451,0.06266661678215212
0.02,0.37,-0.0015320103385333848,0.06266661678215212
0.02,0.38,-0.001540757240225736,0.06266661678215212
0.02,0.39,-0.001548686251433099,0.06266661678215212
0.02,0.4,-0.0015557973721554738,0.06266661678215212
0.02,0.41000000000000003,-0.0015621477250286374,0.06266661678215212
0.02,0.42,-0.0015677998489623298,0.06266661678215212
0.02,0.43,-0.0015727537439565488,0.06266661678215212
0.02,0.44,-0.0015770094100112948,0.06266661678215212
0.02,0.45,-0.0015805668471265666,0.06266661678215212
0.02,0.46,-0.001583452298399479,0.06266661678215212
0.02,0.47000000000000003,-0.0015856967927608046,0.06266661678215212
0.02,0.48,-0.0015873003302105467,0.06266661678215212
0.02,0.49,-0.001588262910748705,0.06266661678215212
0.02,0.5,-0.0015885845343752791,0.06266661678215212
0.02,0.51,-0.0015882629107487048,0.06266661678215212
0.02,0.52,-0.0015873003302105464,0.06266661678215212
0.02,0.53,-0.0015856967927608038,0.06266661678215212
0.02,0.54,-0.001583452298399478,0.06266661678215212
0.02,0.55,-0.0015805668471265682,0.06266661678215212
0.02,0.56,-0.0015770094100112956,0.06266661678215212
0.02,0.5700000000000001,-0.0015727537439565492,0.06266661678215212
0.02,0.58,-0.0015677998489623298,0.06266661678215212
0.02,0.59,-0.0015621477250286372,0.06266661678215212
0.02,0.6,-0.0015557973721554716,0.06266661678215212
0.02,0.61,-0.0015486862514330969,0.06266661678215212
0.02,0.62,-0.0015407572402257354,0.06266661678215212
0.02,0.63,-0.001532010338533386,0.06266661678215212
0.02,0.64,-0.0015224455463560493,0.06266661678215212
0.02,0.65,-0.0015120628636937246,0.06266661678215212
0.02,0.66,-0.0015007626485806778,0.06266661678215212
