"time","space","u","f"
0.,0.,0.,-7.811489408304491e-7
0.,0.01,9.997811833993393e-21,-1.238558319882126e-6
0.,0.02,1.652741016659646e-20,-1.9333621964368023e-6
0.,0.03,2.4346124770526913e-20,-2.971146953702624e-6
0.,0.04,3.821128541850246e-20,-4.495201785261936e-6
0.,0.05,6.288022188324084e-20,-6.695583018091417e-6
0.,0.06,1.7537484737383424e-20,-9.818423384148952e-6
0.,0.07,3.379120709022144e-20,-0.000014174549360531095
0.,0.08,4.626477354884975e-20,-0.00002014609670997261
0.,0.09,5.246179060360416e-20,-0.000028189457427731856
0.,0.1,4.988586474482039e-20,-0.0000388326177824266
0.,0.11,9.978129433818581e-21,-0.00005266483988156777
0.,0.12,4.3048897779840405e-20,-0.00007031678677199808
0.,0.13,7.789602296526253e-20,-0.00009242967249221398
0.,0.14,9.320322291728189e-20,-0.00011961288358102458
0.,0.15,6.765421556309554e-20,-0.0001523907670817597
0.,0.16,4.5281907448842776e-20,-0.00019114084371795175
0.,0.17,4.811534787901146e-20,-0.00023602743728832652
0.,0.18,2.9816603363309166e-20,-0.0002869363912626821
0.,0.19,1.1701955974538813e-20,-0.000343417894868851
0.,0.2,1.5087687785503484e-20,-0.00040464516932626484
0.,0.21,3.5166314305001794e-20,-0.00046939660838477996
0.,0.22,5.789813073420188e-20,-0.0005360677530166963
0.,0.23,1.0016987239680473e-19,-0.0006027171756730792
0.,0.24,1.939559624020146e-19,-0.0006671470977542673
0.,0.25,3.712308238590364e-19,-0.0007270156891424473
0.,0.26,1.1098147041551706e-19,-0.0007799739782929635
0.,0.27,1.9537308690387502e-19,-0.0008238167035070768
0.,0.28,2.475477756573327e-19,-0.0008566338301859412
0.,0.29,2.618784628681487e-19,-0.0008769483160472604
0.,0.3,2.327380747285822e-19,-0.00088382630693505
0.,0.31,1.0024873220840863e-19,-0.0008769483160472604
0.,0.32,2.8291092600739425e-19,-0.0008566338301859412
0.,0.33,5.743947422018234e-19,-0.0008238167035070768
0.,0.34,1.0011083415965632e-18,-0.0007799739782929635
0.,0.35000000000000003,1.5894598849964799e-18,-0.0007270156891424473
0.,0.36,5.300141793820211e-20,-0.0006671470977542673
0.,0.37,1.5929354105841189e-19,-0.0006027171756730792
0.,0.38,3.72167074542637e-19,-0.0005360677530166963
0.,0.39,7.44912723572885e-19,-0.0004693966083847791
0.,0.4,1.3308211933311636e-18,-0.0004046451693262645
0.,0.41000000000000003,3.3475445848493806e-20,-0.00034341789486885073
0.,0.42,1.9984339602327403e-20,-0.00028693639126268214
0.,0.43,-4.667758064887276e-20,-0.0002360274372883266
0.,0.44,-1.7271457681548e-19,-0.00019114084371795186
0.,0.45,-3.64330910807868e-19,-0.0001523907670817599
0.,0.46,-5.065210638495415e-20,-0.00011961288358102462
0.,0.47000000000000003,-1.2690536142057375e-19,-0.00009242967249221436
