"time","space","u","f"
0.,0.,0.,0.
0.,0.01,0.,0.6279051952931337
0.,0.02,0.,1.2533323356430426
0.,0.03,0.,1.873813145857246
0.,0.04,0.,2.486898871648548
0.,0.05,0.,3.090169943749474
0.,0.06,0.,3.681245526846779
0.,0.07,0.,4.257792915650727
0.,0.08,0.,4.817536741017153
0.,0.09,0.,5.358267949789966
0.,0.1,0.,5.877852522924732
0.,0.11,0.,6.374239897486897
0.,0.12,0.,6.845471059286886
0.,0.13,0.,7.289686274214116
0.,0.14,0.,7.705132427757892
0.,0.15,0.,8.090169943749475
0.,0.16,-6.776263578034403e-21,8.443279255020151
0.,0.17,0.,8.763066800438637
0.,0.18,0.,9.048270524660197
0.,0.19,0.,9.297764858882513
0.,0.2,0.,9.510565162951535
0.,0.21,0.,9.68583161128631
0.,0.22,0.,9.822872507286887
0.,0.23,0.,9.921147013144779
0.,0.24,0.,9.980267284282716
0.,0.25,0.,10.
0.,0.26,0.,9.980267284282716
0.,0.27,0.,9.921147013144777
0.,0.28,0.,9.822872507286887
0.,0.29,0.,9.685831611286313
0.,0.3,0.,9.510565162951536
0.,0.31,0.,9.297764858882514
0.,0.32,0.,9.048270524660195
0.,0.33,0.,8.763066800438635
0.,0.34,0.,8.44327925502015
0.,0.35000000000000003,0.,8.090169943749475
0.,0.36,0.,7.705132427757892
0.,0.37,0.,7.289686274214114
0.,0.38,0.,6.845471059286888
0.,0.39,0.,6.374239897486898
0.,0.4,0.,5.877852522924733
0.,0.41000000000000003,0.,5.358267949789966
0.,0.42,0.,4.817536741017156
0.,0.43,0.,4.257792915650729
0.,0.44,1.6940658945086007e-21,3.6812455268467814
0.,0.45,0.,3.090169943749475
0.,0.46,0.,2.486898871648548
0.,0.47000000000000003,0.,1.8738131458572458
0.,0.48,-8.470329472543003e-22,1.2533323356430452
0.,0.49,0.,0.6279051952931358
0.,0.5,0.,1.2246467991473533e-15
0.,0.51,0.,-0.6279051952931335
0.,0.52,0.,-1.2533323356430428
0.,0.53,0.,-1.8738131458572478
0.,0.54,0.,-2.4868988716485503
0.,0.55,0.,-3.090169943749477
0.,0.56,0.,-3.681245526846783
0.,0.5700000000000001,0.,-4.257792915650727
0.,0.58,0.,-4.81753674101715
0.,0.59,0.,-5.358267949789965
0.,0.6,0.,-5.87785252292473
0.,0.61,0.,-6.374239897486897
0.,0.62,0.,-6.845471059286887
0.,0.63,0.,-7.289686274214113
0.,0.64,0.,-7.705132427757894
0.,0.65,0.,-8.090169943749473
0.,0.66,0.,-8.443279255020153
0.,0.67,0.,-8.763066800438637
0.,0.68,0.,-9.048270524660198
0.,0.6900000000000001,0.,-9.297764858882514
