"time","space","u","f"
0.,0.,0.,-7.811489408304491e-7
0.,0.01,5.824067150793199e-21,-1.238558319882126e-6
0.,0.02,1.1066500664221475e-20,-1.9333621964368023e-6
0.,0.03,1.782009505390217e-20,-2.971146953702624e-6
0.,0.04,2.817764483345262e-20,-4.495201785261936e-6
0.,0.05,4.423194451649016e-20,-6.695583018091417e-6
0.,0.06,1.2576175596089773e-20,-9.818423384148952e-6
0.,0.07,-2.498122427587282e-20,-0.000014174549360531095
0.,0.08,-1.0850725497780097e-19,-0.00002014609670997261
0.,0.09,-2.3383697187160803e-19,-0.000028189457427731856
0.,0.1,-3.968054303192074e-19,-0.0000388326177824266
0.,0.11,-2.3904489498960388e-20,-0.00005266483988156777
0.,0.12,-6.113165529342263e-20,-0.00007031678677199808
0.,0.13,-1.2500417367888872e-19,-0.00009242967249221398
0.,0.14,-2.288447209508605e-19,-0.00011961288358102458
0.,0.15,-3.8597597340483934e-19,-0.0001523907670817597
0.,0.16,-2.0373906669927455e-20,-0.00019114084371795175
0.,0.17,-3.789918095382256e-20,-0.00023602743728832652
0.,0.18,-5.257582285168527e-20,-0.0002869363912626821
0.,0.19,-6.440383236351568e-20,-0.000343417894868851
0.,0.2,-7.338320948931374e-20,-0.00040464516932626484
0.,0.21,4.499178807293445e-20,-0.00046939660838477996
0.,0.22,1.7152945730458712e-20,-0.0005360677530166963
0.,0.23,-6.752931547282515e-20,-0.0006027171756730792
0.,0.24,-1.9306778398231444e-19,-0.0006671470977542673
0.,0.25,-3.4347524824340763e-19,-0.0007270156891424473
0.,0.26,-8.738762850938306e-20,-0.0007799739782929635
0.,0.27,-2.0225328936562536e-19,-0.0008238167035070768
0.,0.28,-3.2890777430366507e-19,-0.0008566338301859412
0.,0.29,-4.516618750584396e-19,-0.0008769483160472604
0.,0.3,-5.54826383364889e-19,-0.00088382630693505
0.,0.31,4.240611262543796e-20,-0.0008769483160472604
0.,0.32,1.4768576160804998e-19,-0.0008566338301859412
0.,0.33,2.7829826153429364e-19,-0.0008238167035070768
0.,0.34,3.967029269906266e-19,-0.0007799739782929635
0.,0.35000000000000003,4.653590725635062e-19,-0.0007270156891424473
0.,0.36,1.0718030153990982e-19,-0.0006671470977542673
0.,0.37,3.2627108396203557e-19,-0.0006027171756730792
0.,0.38,6.359560651935743e-19,-0.0005360677530166963
0.,0.39,1.0149189631617228e-18,-0.0004693966083847791
0.,0.4,1.4418434957936778e-18,-0.0004046451693262645
0.,0.41000000000000003,3.249624003073841e-21,-0.00034341789486885073
0.,0.42,-7.332990561741679e-20,-0.00028693639126268214
0.,0.43,-2.466009918082476e-19,-0.0002360274372883266
0.,0.44,-5.334260375161933e-19,-0.00019114084371795186
0.,0.45,-9.506674456880288e-19,-0.0001523907670817599
0.,0.46,6.239635309750255e-20,-0.00011961288358102462
0.,0.47000000000000003,6.277624233663451e-20,-0.00009242967249221436
0.,0.48,5.838563435589183e-20,-0.00007031678677199862
0.,0.49,1.0647049579377023e-19,-0.00005266483988156853
0.,0.5,2.6427679328876596e-19,-0.00003883261778242764
0.,0.51,-7.775080453227466e-21,-0.00002818945742773327
0.,0.52,-1.0347982445676749e-19,-0.00002014609670997446
0.,0.53,-3.0843051408342316e-19,-0.000014174549360533525
0.,0.54,-6.439434314059975e-19,-9.81842338415216e-6
0.,0.55,-1.1313348584972937e-18,-6.695583018095489e-6
0.,0.56,5.452433201409262e-20,-4.495201785267061e-6
0.,0.5700000000000001,5.964880707797918e-20,-2.9711469537089418e-6
0.,0.58,6.097329314569598e-20,-1.933362196444495e-6
0.,0.59,1.0409765817127903e-19,-1.238558319891333e-6
0.,0.6,2.346217701087649e-19,-7.811489408412977e-7
0.,0.61,-1.660381645321593e-20,-4.850264070457877e-7
0.,0.62,1.120128807857448e-20,-2.9649069554817533e-7
0.,0.63,8.341531359537124e-20,-1.7843124358892554e-7
0.,0.64,2.0003826009717432e-19,-1.0571701317515507e-7
